AS_ID	PREDICATE	OBJECT
auditioncertificate_bnf_suppl_turc_986_129v_n_4	characteristics.copy	True
auditioncertificate_bnf_suppl_turc_986_129v_n_4	characteristics.type	qira
auditioncertificate_bnf_suppl_turc_986_129v_n_4	context.author_name	أبو محمد سفيان بن عيينة الهلالي
auditioncertificate_bnf_suppl_turc_986_129v_n_4	context.author_viaf	None
auditioncertificate_bnf_suppl_turc_986_129v_n_4	context.work_title	جزء فيه من حديث أبي محمد سفيان بن عيينة الهلالي
auditioncertificate_bnf_suppl_turc_986_129v_n_4	edit.amended_by	None
auditioncertificate_bnf_suppl_turc_986_129v_n_4	edit.editor	Said Aljoumani
auditioncertificate_bnf_suppl_turc_986_129v_n_4	edit.status	wip
auditioncertificate_bnf_suppl_turc_986_129v_n_4	object.audition_certificate_number	N. 4
auditioncertificate_bnf_suppl_turc_986_129v_n_4	object.catalog	None
auditioncertificate_bnf_suppl_turc_986_129v_n_4	object.classmark	Suppl Turc 986
auditioncertificate_bnf_suppl_turc_986_129v_n_4	object.folio_number	129v
auditioncertificate_bnf_suppl_turc_986_129v_n_4	object.image_link	https://gallica.bnf.fr/ark:/12148/btv1b10082613v/f134.highres
auditioncertificate_bnf_suppl_turc_986_129v_n_4	object.library	BNF
auditioncertificate_bnf_suppl_turc_986_129v_n_4	object.manuscript_link	https://gallica.bnf.fr/ark:/12148/btv1b10082613v/f134.item.r=turc%20986.zoom
auditioncertificate_stabi_wetzstein_i_112_157v_n_2	characteristics.copy	False
auditioncertificate_stabi_wetzstein_i_112_157v_n_2	characteristics.type	qira
auditioncertificate_stabi_wetzstein_i_112_157v_n_2	edit.amended_by	None
auditioncertificate_stabi_wetzstein_i_112_157v_n_2	edit.editor	Said Aljoumani
auditioncertificate_stabi_wetzstein_i_112_157v_n_2	edit.status	wip
auditioncertificate_stabi_wetzstein_i_112_157v_n_2	object.audition_certificate_number	N. 2
auditioncertificate_stabi_wetzstein_i_112_157v_n_2	object.classmark	Wetzstein I 112
auditioncertificate_stabi_wetzstein_i_112_157v_n_2	object.folio_number	157v
auditioncertificate_stabi_wetzstein_i_112_157v_n_2	object.image_link	
auditioncertificate_stabi_wetzstein_i_112_157v_n_2	object.library	Stabi
auditioncertificate_stabi_wetzstein_i_112_157v_n_2	object.manuscript_link	http://resolver.staatsbibliothek-berlin.de/SBB0002192C00000322
auditioncertificate_bnf_suppl_turc_983_27v	characteristics.copy	False
auditioncertificate_bnf_suppl_turc_983_27v	characteristics.type	qira
auditioncertificate_bnf_suppl_turc_983_27v	context.author_name	None
auditioncertificate_bnf_suppl_turc_983_27v	context.author_viaf	None
auditioncertificate_bnf_suppl_turc_983_27v	context.work_title	جزء منتقا من الأحاديث الحسان
auditioncertificate_bnf_suppl_turc_983_27v	edit.amended_by	None
auditioncertificate_bnf_suppl_turc_983_27v	edit.editor	Said Aljoumani
auditioncertificate_bnf_suppl_turc_983_27v	edit.status	wip
auditioncertificate_bnf_suppl_turc_983_27v	object.audition_certificate_number	
auditioncertificate_bnf_suppl_turc_983_27v	object.catalog	None
auditioncertificate_bnf_suppl_turc_983_27v	object.classmark	Suppl Turc 983
auditioncertificate_bnf_suppl_turc_983_27v	object.folio_number	27v
auditioncertificate_bnf_suppl_turc_983_27v	object.image_link	https://gallica.bnf.fr/ark:/12148/btv1b10083812h/f29.highres
auditioncertificate_bnf_suppl_turc_983_27v	object.library	BNF
auditioncertificate_bnf_suppl_turc_983_27v	object.manuscript_link	https://gallica.bnf.fr/ark:/12148/btv1b10083812h/f29.item.r=%22turc%20983%22.zoom
auditioncertificate_stabi_sprenger_468_100r_n_2	characteristics.copy	False
auditioncertificate_stabi_sprenger_468_100r_n_2	characteristics.type	sama
auditioncertificate_stabi_sprenger_468_100r_n_2	context.author_name	None
auditioncertificate_stabi_sprenger_468_100r_n_2	context.author_viaf	None
auditioncertificate_stabi_sprenger_468_100r_n_2	context.work_title	None
auditioncertificate_stabi_sprenger_468_100r_n_2	edit.amended_by	None
auditioncertificate_stabi_sprenger_468_100r_n_2	edit.editor	Said Aljoumani
auditioncertificate_stabi_sprenger_468_100r_n_2	edit.status	wip
auditioncertificate_stabi_sprenger_468_100r_n_2	object.audition_certificate_number	N. 2
auditioncertificate_stabi_sprenger_468_100r_n_2	object.catalog	None
auditioncertificate_stabi_sprenger_468_100r_n_2	object.classmark	Sprenger 468
auditioncertificate_stabi_sprenger_468_100r_n_2	object.folio_number	100r
auditioncertificate_stabi_sprenger_468_100r_n_2	object.library	Stabi
auditioncertificate_stabi_sprenger_468_100r_n_2	object.manuscript_link	None
auditioncertificate_snl_3760_13_164r_n_1	characteristics.copy	True
auditioncertificate_snl_3760_13_164r_n_1	characteristics.type	qira
auditioncertificate_snl_3760_13_164r_n_1	context.author_name	الحسين بن إسماعيل المحاملي
auditioncertificate_snl_3760_13_164r_n_1	context.author_viaf	None
auditioncertificate_snl_3760_13_164r_n_1	context.work_title	أمالي المحاملي  
auditioncertificate_snl_3760_13_164r_n_1	edit.amended_by	None
auditioncertificate_snl_3760_13_164r_n_1	edit.editor	Said Aljoumani
auditioncertificate_snl_3760_13_164r_n_1	edit.status	wip
auditioncertificate_snl_3760_13_164r_n_1	object.audition_certificate_number	N. 1
auditioncertificate_snl_3760_13_164r_n_1	object.catalog	FMMU 114
auditioncertificate_snl_3760_13_164r_n_1	object.classmark	3760/13
auditioncertificate_snl_3760_13_164r_n_1	object.folio_number	164r
auditioncertificate_snl_3760_13_164r_n_1	object.library	SNL
auditioncertificate_snl_3760_13_164r_n_1	object.manuscript_link	None
auditioncertificate_bnf_arabe_1289_225r_n_4	characteristics.copy	False
auditioncertificate_bnf_arabe_1289_225r_n_4	characteristics.type	qira
auditioncertificate_bnf_arabe_1289_225r_n_4	context.author_name	أبو الفرج طاهر بن محمد بن عبد الرحيم بن نباتة
auditioncertificate_bnf_arabe_1289_225r_n_4	context.author_viaf	None
auditioncertificate_bnf_arabe_1289_225r_n_4	context.work_title	خطبة النكاح
auditioncertificate_bnf_arabe_1289_225r_n_4	edit.amended_by	None
auditioncertificate_bnf_arabe_1289_225r_n_4	edit.date_status	finished
auditioncertificate_bnf_arabe_1289_225r_n_4	edit.editor	Said Aljoumani
auditioncertificate_bnf_arabe_1289_225r_n_4	edit.person_status	wip
auditioncertificate_bnf_arabe_1289_225r_n_4	edit.place_status	finished
