idPersonaje	idFamilia	nombreA	nombreE	suhra	nacimiento	nacimiento_comentario	muerte	muerte_comentario	edad	edad_comentario	resumenBiografico	creado	modificado	publicado	maestrosOrientales	nacimientoec	muerteec	fuentesCitadas
1	0	المصعب بن عمران بن شفي بن كعب بن كعب بن الدجن بن زيد بن عمرو بن امرىء القيس الهمداني، أبو محمد	NA	NA	0	NA	180	dp., m. época al-Ḥakam I	0	NA	NA	2010-12-29T01:12:44Z	2014-08-28T09:48:06Z	1	NA	0	796	NA
2	0	أبو عبد الله بن الأصيلي الطرطوشي النحوي	NA	NA	0	NA	0	NA	0	NA	NA	2010-12-29T01:12:44Z	2010-12-29T01:12:44Z	1	NA	0	0	NA
3	0	محمد بن يوسف النجاحمال (؟)، أبو عمرو	NA	NA	0	NA	0	NA	0	NA	NA	2010-12-29T01:12:44Z	2012-10-26T11:28:08Z	1	NA	0	0	NA
4	0	كاتب الظافر بن ذي النون	Kātib al-Ẓāfir b. Dī l-Nūn	NA	0	NA	0	NA	0	NA	NA	2010-12-29T01:12:44Z	2011-06-22T09:45:54Z	1	NA	0	0	المسهب
5	0	يدير بن تونارت الهسكوري، أبو محمد	Yaddayr	NA	0	NA	0	NA	0	NA	NA	2010-12-29T01:12:44Z	2013-11-15T09:34:29Z	1	NA	0	0	NA
6	0	أبان بن سالم اليحصبي	Abān b. Sālim al-Yaḥṣubī	NA	0	NA	0	NA	0	NA	De Elvira y de la qalʿa atribuida a esta qabīla, que es su solar en al-Andalus. Fue ṣāḥib al-ṣalā de su localidad.	2010-12-29T01:12:44Z	2012-08-22T11:04:03Z	1	NA	0	0	الرازي ـ ذكره (IA).
7	0	أبان بن عبد العزيز بن أبان اليحصبي	Abān b. ʿAbd al-ʿAzīz b. Abān al-Yaḥṣubī	NA	342	ded.	389	martes mediados ḏū l-qaʿda=fines octubre	47	NA	NA	2010-12-29T01:12:44Z	2014-02-10T10:55:34Z	1	NA	953	999	NA
8	468	أبان بن عثمان بن سعيد بن المبشر (البشر) بن غالب بن فيض اللخمي، أبو الوليد	Abān b. ʿUṯmān b. Saʿīd b. al-Mubaššir (al-Bišr) b. Gālib b. Fayḍ al-Laḫmī, Abū l-Walīd	NA	0	NA	377	martes 6 rağab = 1 noviembre / 376 = 986	0	NA	NA	2010-12-29T01:12:44Z	2019-05-04T10:36:49Z	1	NA	0	987	NA
9	2	أبان بن عيسى بن دينار بن واقد بن رجاء بن عامر بن مالك الغافقي، أبو القاسم	Abān b. ʿĪsà b. Dīnār b. Wāqid b. Rağāʾ b. ʿĀmir b. Mālik al-Gāfiqī, Abū l-Qāsim	NA	0	NA	262	viernes, mediados rabīʿ II = 13 o 20 enero / 258 / 272 / 292	0	NA	NA	2010-12-29T01:12:44Z	2018-05-18T12:22:14Z	1	"سحنون</br>
علي بن معبد</br>
ابن المقرىء  - بمكة</br>
ابن كنانة - بالمدينة</br>
ابن الماجسون - بالمدينة</br>
مطرف - بالمدينة </br>"	0	876	"أحمد، خالد، محمد بن حارث </br>
محمد بن عمر بن لبابة، محمد بن فطيس، أبو صالح أيوب بن سليمان، خالد بن سعد (IH) </br>"
10	2	أبان بن عيسى بن محمد بن عبد الرحمن بن عيسى بن دينار بن واقد بن رجاء بن عامر بن مالك الغافقي، أبو محمد، أبو القاسم	Abān b. ʿĪsà b. Muḥammad b. ʿAbd al-Raḥmān b. ʿĪsà b. Dīnār b. Wāfid b. Rağāʾ b. ʿĀmir b. Mālik al-Gāfiqī, Abū Muḥammad, Abū l-Qāsim	NA	281	NA	349	rabīʿ II = junio	68	ded.	NA	2010-12-29T01:12:44Z	2018-11-04T14:08:09Z	1	NA	894	960	NA
